epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65614,1.04155,2.25256,1.1007,0.99508,0.29266,0.33197,0.276,1.19351,2.4682,0.95353,0.000468525,0.000468525,0.000468525
2,17.1866,1.05996,1.43937,1.08694,0.38565,0.36339,0.35959,0.27187,1.3661,2.22536,1.16002,0.000921473,0.000921473,0.000921473
3,25.6773,1.05395,1.29713,1.12266,0.40616,0.43518,0.40136,0.30142,1.37006,2.10884,1.22505,0.00135084,0.00135084,0.00135084
4,33.7389,1.03808,1.18119,1.11856,0.64133,0.48684,0.51536,0.34687,1.32641,1.6387,1.08502,0.0013229,0.0013229,0.0013229
5,41.5072,1.01515,1.12404,1.1024,0.70338,0.4929,0.53585,0.36905,1.29047,1.33467,1.03479,0.00128753,0.00128753,0.00128753
6,50.1197,0.98513,1.07914,1.09714,0.64084,0.57013,0.55302,0.37239,1.24767,1.3521,1.07381,0.00125216,0.00125216,0.00125216
7,57.4971,0.93106,0.96291,1.07794,0.67508,0.51969,0.57003,0.39855,1.27026,1.26981,1.17695,0.00121679,0.00121679,0.00121679
8,65.7982,0.91489,0.90697,1.0768,0.73779,0.5784,0.61081,0.4115,1.22204,1.16762,1.12623,0.00118143,0.00118143,0.00118143
9,74.0883,0.90047,0.89735,1.08153,0.6966,0.5751,0.57616,0.39782,1.26544,1.0775,1.13834,0.00114606,0.00114606,0.00114606
10,81.3207,0.91217,0.87745,1.0704,0.68689,0.59865,0.62458,0.43088,1.15768,1.06554,1.0932,0.00111069,0.00111069,0.00111069
11,89.5949,0.9198,0.8674,1.06934,0.69186,0.64163,0.6326,0.43163,1.15006,0.95895,1.06761,0.00107532,0.00107532,0.00107532
12,97.3132,0.87386,0.78181,1.04365,0.71831,0.61209,0.63998,0.44485,1.12368,0.98071,1.05578,0.00103995,0.00103995,0.00103995
13,104.95,0.86494,0.74664,1.04426,0.83492,0.59009,0.66114,0.44185,1.18272,0.886,1.07487,0.00100459,0.00100459,0.00100459
14,113.275,0.83913,0.73328,1.03321,0.89396,0.5906,0.67135,0.45873,1.09219,0.84598,1.05101,0.000969219,0.000969219,0.000969219
15,121.157,0.80408,0.68412,1.01392,0.73931,0.65764,0.68253,0.45335,1.08545,0.82132,1.03817,0.000933851,0.000933851,0.000933851
16,129.967,0.80855,0.67741,1.01184,0.85627,0.62394,0.70231,0.47387,1.06666,0.76074,1.04202,0.000898484,0.000898484,0.000898484
17,138.846,0.79976,0.65102,1.00826,0.8323,0.65471,0.70219,0.48325,1.0722,0.74336,1.04226,0.000863116,0.000863116,0.000863116
18,146.23,0.78077,0.64072,1.00972,0.83121,0.67387,0.70654,0.49158,1.03033,0.76052,0.99654,0.000827748,0.000827748,0.000827748
19,154.555,0.81896,0.67595,1.01974,0.75919,0.64551,0.67074,0.47,1.05396,0.84113,0.99941,0.00079238,0.00079238,0.00079238
20,162.748,0.78239,0.62602,1.01671,0.85565,0.6623,0.72598,0.50386,1.02295,0.71252,1.00933,0.000757013,0.000757013,0.000757013
21,170.028,0.76156,0.61367,1.00867,0.79422,0.6665,0.70004,0.48357,1.06298,0.76232,1.04354,0.000721645,0.000721645,0.000721645
22,178.319,0.76587,0.61481,0.99333,0.83524,0.65284,0.71569,0.50225,0.99246,0.67363,0.98153,0.000686277,0.000686277,0.000686277
23,185.786,0.7542,0.58061,0.99966,0.8623,0.67674,0.73528,0.51115,1.01862,0.6754,0.99557,0.000650909,0.000650909,0.000650909
24,193.826,0.75278,0.57139,0.99449,0.83681,0.67678,0.71995,0.50554,1.00952,0.6433,0.98476,0.000615542,0.000615542,0.000615542
25,202.067,0.73817,0.55211,0.99044,0.79329,0.7002,0.72678,0.50349,1.04806,0.65673,1.00014,0.000580174,0.000580174,0.000580174
26,209.439,0.73759,0.5443,0.99275,0.88769,0.66734,0.72948,0.51923,0.9976,0.65064,0.97816,0.000544806,0.000544806,0.000544806
27,217.632,0.70751,0.52024,0.96642,0.85791,0.70012,0.7429,0.52424,0.98393,0.62576,0.97658,0.000509438,0.000509438,0.000509438
28,225.595,0.69297,0.52187,0.98068,0.79505,0.72451,0.75385,0.53079,0.95493,0.62259,0.96421,0.000474071,0.000474071,0.000474071
29,232.989,0.71257,0.52163,0.97271,0.87943,0.67957,0.75549,0.53029,0.96636,0.6192,0.95806,0.000438703,0.000438703,0.000438703
30,241.16,0.6798,0.50838,0.97382,0.88702,0.68112,0.75677,0.53664,0.94931,0.58177,0.97645,0.000403335,0.000403335,0.000403335
31,249.09,0.71944,0.52793,0.93274,0.8673,0.7026,0.75982,0.54391,0.93495,0.57419,0.97665,0.000367967,0.000367967,0.000367967
32,256.96,0.72346,0.5112,0.92544,0.84331,0.72015,0.7576,0.53826,0.92423,0.58464,0.95942,0.0003326,0.0003326,0.0003326
33,265.013,0.69868,0.48208,0.90962,0.84846,0.72199,0.76202,0.54781,0.96257,0.55832,0.98153,0.000297232,0.000297232,0.000297232
34,272.107,0.66368,0.45431,0.91422,0.89339,0.69794,0.76554,0.54914,0.94666,0.56588,0.95913,0.000261864,0.000261864,0.000261864
35,280.077,0.662,0.44501,0.90061,0.87,0.70947,0.76277,0.55362,0.95127,0.5627,0.96501,0.000226497,0.000226497,0.000226497
36,287.315,0.64331,0.43794,0.90081,0.90843,0.69975,0.77051,0.55273,0.94325,0.55444,0.97228,0.000191129,0.000191129,0.000191129
37,295.227,0.64726,0.42925,0.88927,0.88394,0.71443,0.77001,0.55679,0.9209,0.53758,0.96747,0.000155761,0.000155761,0.000155761
38,303.245,0.63149,0.4175,0.88898,0.84483,0.74406,0.77369,0.56106,0.9156,0.53228,0.96467,0.000120393,0.000120393,0.000120393
39,310.337,0.62493,0.4229,0.87583,0.85353,0.74544,0.77871,0.56478,0.9189,0.53874,0.96061,8.50255e-05,8.50255e-05,8.50255e-05
40,318.434,0.6041,0.40767,0.88126,0.87141,0.72189,0.77786,0.56635,0.9087,0.54026,0.96035,4.96578e-05,4.96578e-05,4.96578e-05
