epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.993,0.92895,1.37091,1.12749,0.92132,0.91835,0.97012,0.75998,0.84729,0.77656,1.00234,0.000473772,0.000473772,0.000473772
2,47.9145,0.88757,0.77494,1.10867,0.93888,0.87403,0.96313,0.72734,0.84216,0.64963,0.97769,0.000926591,0.000926591,0.000926591
3,69.4092,0.87049,0.72057,1.10221,0.96935,0.96869,0.98345,0.75819,0.90182,0.66452,1.03678,0.00135583,0.00135583,0.00135583
4,90.3402,0.84118,0.64559,1.0932,0.97577,0.99016,0.99251,0.82513,0.70241,0.53947,0.94498,0.0013229,0.0013229,0.0013229
5,111.177,0.81,0.58869,1.07559,0.9817,0.98776,0.99362,0.8058,0.74038,0.48497,0.97627,0.00128753,0.00128753,0.00128753
6,132.476,0.77174,0.54077,1.05944,0.9928,0.98065,0.99323,0.82891,0.72573,0.48065,1.00607,0.00125216,0.00125216,0.00125216
7,153.461,0.75843,0.52048,1.0559,0.99116,0.98889,0.99484,0.84945,0.67221,0.43689,0.95248,0.00121679,0.00121679,0.00121679
8,174.566,0.74767,0.49575,1.05164,0.9945,0.99107,0.99435,0.86011,0.64269,0.42976,0.95548,0.00118143,0.00118143,0.00118143
9,195.987,0.7127,0.47221,1.03849,0.98581,0.98905,0.99097,0.85589,0.67004,0.41323,0.95848,0.00114606,0.00114606,0.00114606
10,216.873,0.69281,0.45337,1.02846,0.995,0.98776,0.99462,0.86202,0.62122,0.39695,0.9306,0.00111069,0.00111069,0.00111069
11,238.055,0.68046,0.44891,1.02782,0.99741,0.99538,0.99483,0.84991,0.58912,0.36709,0.9226,0.00107532,0.00107532,0.00107532
12,259.31,0.67111,0.43273,1.0181,0.98327,0.99256,0.99319,0.85975,0.60718,0.3753,0.95136,0.00103995,0.00103995,0.00103995
13,279.852,0.65781,0.42039,1.01421,0.98798,0.9903,0.99019,0.85909,0.62129,0.36908,0.94108,0.00100459,0.00100459,0.00100459
14,301.125,0.63816,0.40578,1.00716,0.99358,0.99143,0.99461,0.88316,0.57422,0.35925,0.92565,0.000969219,0.000969219,0.000969219
15,322.507,0.62016,0.39883,1.00106,0.99653,0.99084,0.99464,0.89226,0.53509,0.32558,0.92604,0.000933851,0.000933851,0.000933851
16,343.087,0.61435,0.38771,0.99856,0.99552,0.99452,0.99386,0.88308,0.53556,0.31361,0.92216,0.000898484,0.000898484,0.000898484
17,364.357,0.60074,0.37475,0.99076,0.99449,0.99466,0.99487,0.87913,0.56553,0.32251,0.93856,0.000863116,0.000863116,0.000863116
18,385.886,0.60671,0.37757,0.99733,0.99531,0.99408,0.99471,0.88963,0.53394,0.31467,0.93333,0.000827748,0.000827748,0.000827748
19,406.481,0.58701,0.36542,0.98447,0.99746,0.99325,0.99304,0.90133,0.49795,0.30571,0.90879,0.00079238,0.00079238,0.00079238
20,427.805,0.58627,0.36648,0.98591,0.99506,0.99346,0.99483,0.8953,0.50829,0.30362,0.90577,0.000757013,0.000757013,0.000757013
21,449.337,0.58518,0.36327,0.98269,0.99542,0.99554,0.99438,0.89948,0.50199,0.30406,0.90407,0.000721645,0.000721645,0.000721645
22,470.124,0.56688,0.35451,0.98429,0.99638,0.99554,0.99445,0.90071,0.51306,0.30025,0.92276,0.000686277,0.000686277,0.000686277
23,491.387,0.55498,0.34819,0.97204,0.99388,0.99456,0.99475,0.89269,0.5576,0.31154,0.92071,0.000650909,0.000650909,0.000650909
24,512.991,0.55734,0.34206,0.97398,0.99701,0.9939,0.99486,0.90287,0.48091,0.28093,0.89068,0.000615542,0.000615542,0.000615542
25,534.049,0.54579,0.33462,0.96809,0.99668,0.99401,0.99487,0.89874,0.48786,0.27359,0.90668,0.000580174,0.000580174,0.000580174
26,555.456,0.54207,0.32942,0.96887,0.99671,0.99403,0.99447,0.90518,0.47615,0.26698,0.90929,0.000544806,0.000544806,0.000544806
27,576.957,0.5217,0.32654,0.9611,0.99765,0.99544,0.99493,0.91462,0.48124,0.26792,0.89442,0.000509438,0.000509438,0.000509438
28,598.222,0.52182,0.32157,0.9575,0.99568,0.99534,0.99499,0.90395,0.4857,0.26421,0.90189,0.000474071,0.000474071,0.000474071
29,619.86,0.5221,0.31787,0.96099,0.99601,0.99269,0.99496,0.9114,0.46483,0.25347,0.90682,0.000438703,0.000438703,0.000438703
30,641.72,0.49869,0.31078,0.95337,0.99689,0.99355,0.99472,0.90842,0.45866,0.25979,0.89432,0.000403335,0.000403335,0.000403335
31,663.509,0.41387,0.25257,0.88797,0.99622,0.99454,0.99494,0.91516,0.46462,0.26612,0.89655,0.000367967,0.000367967,0.000367967
32,684.051,0.39654,0.24052,0.88141,0.99664,0.99256,0.99493,0.91223,0.47279,0.25736,0.89947,0.0003326,0.0003326,0.0003326
33,705.012,0.38388,0.23263,0.87616,0.9967,0.99471,0.995,0.92131,0.44399,0.24515,0.8921,0.000297232,0.000297232,0.000297232
34,725.207,0.37289,0.22372,0.8754,0.99538,0.99554,0.995,0.92077,0.4452,0.24087,0.89611,0.000261864,0.000261864,0.000261864
35,746.027,0.35963,0.21763,0.8714,0.99704,0.99554,0.99499,0.9229,0.43689,0.23328,0.89266,0.000226497,0.000226497,0.000226497
36,767.035,0.34567,0.20943,0.86434,0.99569,0.99462,0.995,0.92859,0.42942,0.23047,0.88618,0.000191129,0.000191129,0.000191129
37,787.426,0.34456,0.20586,0.86313,0.99628,0.99433,0.995,0.92654,0.41331,0.22441,0.87659,0.000155761,0.000155761,0.000155761
38,808.276,0.33283,0.2007,0.86044,0.99716,0.99556,0.995,0.9299,0.41623,0.21904,0.88046,0.000120393,0.000120393,0.000120393
39,828.415,0.31946,0.1928,0.8505,0.99685,0.99473,0.995,0.93164,0.40794,0.21622,0.87812,8.50255e-05,8.50255e-05,8.50255e-05
40,849.372,0.3139,0.18937,0.85469,0.99703,0.99562,0.995,0.93036,0.40516,0.21207,0.87439,4.96578e-05,4.96578e-05,4.96578e-05
